publisher,pub_est
Software Projects,1983
Sony Imagesoft,1989
Sony Interactive Entertainment,1993
Sony Pictures Digital,1997
SouthPeak Games,1996
Spectral Associates,1980
Spectravideo,1981
Spectrum HoloByte,1983
Spike,1991
Spil Games,2001
Spinnaker Software,1982
Square,1986
Square Electronic Arts,1998
Square Enix,1975
Square Enix Europe,1990
Stardock,1991
Starpath,1981
Stern Electronics,1977
Sting Entertainment,1989
Storm Impact,1989
Strategic Simulations (SSI),1979
Strategic Studies Group,1983
Stormfront Studios,1988
Strategy First,1988
Studio e.go!,1998
subLOGIC,1975
Success,1978
Sunflowers Interactive Entertainment Software,1993
Sunrise Interactive,1998
Sunsoft,1981
Superior Software,1982
Supersoft,1978
Sydney Development Corporation,1978
Super Fighter Team,2004
Suzy Soft,1985
Synapse Software,1981
Synergistic Software,1978
SystemSoft,1985
System 3,1982
System Sacom,1981
Tactics,1997
Taito,1953
Takara,1955
Take-Two Interactive,1993
TalonSoft,1995
Tamsoft,1992
Tandy Corporation,1919
Taxan,1981
TDK Mediactive,1990
Team17,1990
Team Shanghai Alice,1996
Techland,1991
Technical Group Laboratory,1984
Technology and Entertainment Software,1982
Technosoft,1980
Technos Japan,1981
TecMagik,1991
Tecmo,1967
Tectoy,1987
Telarium,1984
Telesys,1982
Telenet Japan,1983
Telltale Games,2004
Tencent,1998
Tengen,1987
Texas Instruments,1930
Thalamus Ltd,1986
Thalion Software,1988
The9,1999
The Learning Company,1980
Thin Chen Enterprise,1988
Thinking Rabbit,1982
THQ,1989
THQ Nordic,2011
Thorn EMI Computer Software,1981
Three-Sixty Pacific,1987
Tiertex Design Studios,1987
Tiger Electronics,1978
Time Warner Interactive,1993
Titus Interactive,1985
Toaplan,1984
Toei Animation,1956
Toho,1932
Tokuma Shoten,1954
Tokyo Shoseki,1909
Tomy (Takara Tomy),1924
Tommo,1990
Tonkin House,1986
Topologika,1983
Topo Soft,1987
TopWare Interactive,1995
Toshiba EMI,1960
Towa Chiki,1986
Tradewest,1986
Treco,1990
Triangle Service,2002
Triffix Entertainment,1991
Trilobyte Software,1990
Tripwire Interactive,2005
Tri Synergy,1996
Tru Blu Entertainment,1999
Tsunami Games,1991
TT Games,2005
Twilight Frontier,2002
Tynesoft,1983
Type-Moon,2000
Ubisoft,1986
UEP Systems,1985
UFO Interactive Games,1999
Ultimate Play the Game,1982
Ultrasoft,1989
Ultra Games,1988
United States Army,1775
Universal Entertainment Corporation,1969
U.S. Gold,1984
UserJoy Technology,1995
US Games,1978
Valcon Games,2005
Valve,1996
VAP,1981
Varie,1986
VEB Polytechnik,1870
Vectorbeam,1978
Viacom,1952
Victor Interactive,1970
Vic Tokai,1977
Virgin Interactive,1983
Virgin Play,1995
Virtual Programming,2000
Visco Corporation,1982
The Vision Factory,1993
VisualArt's,1991
Vivarium Inc.,1993
Vivendi Games,1993
Vortex Software,1981
VoxelStorm,2012
Vulcan Software,1994
Wales Interactive,2012
Walnut Creek CDROM,1991
Wanadoo Edition,2000
Warashi,1995
Wargaming,1998
Warner Bros. Interactive,1993
WARP,1994
Webfoot Technologies,1993
Webzen,2000
WildTangent,1998
Williams Electronics,1943
Windham Classics,1984
Windmill,2002
Windmill Software,1982
Winkysoft,1983
Wisdom Tree,1989
WizardWorks,1990
Wolf Team,1986
Working Designs,1986
Xicat Interactive,1997
Xonox,1983
XSEED Games,2005
XS Games,2002
Yeti,2005
Yojigen,1994
Yonezawa PR21,1988
Yuke's,1993
Yutaka,1990
Zaccaria,1974
ZAPiT Games,2003
ZeniMax Media,1999
Zenobi,1982
Zeppelin Games,1987
Zigurat,1986
Zimag,1982
Zoom,1988
Zuxxez Entertainment,2001
Zushi Games,1999
Zynga,2007
ZyX,1994
