Publisher,Headquarters,Est.,Notable games published,Notes,Active
Davka,"Chicago, Illinois, United States",1982,Various Apple II games,No longer publishes video games.,0
Daybreak Game Company,"California, United States",1995,DC Universe Online,Also a video game developer. Formerly known as Sony Online Entertainment.,1
dB-SOFT,"Sapporo, Japan",1980,Flappy,Defunct in 2001.,0
Deep Silver,"Munich, Germany",2002,S.T.A.L.K.E.R.: Clear SkyS.T.A.L.K.E.R.: Call of PripyatMetro 2033Metro: Last Light,Label of Koch Media. Purchased video game developer Volition and the Metro franchise from THQ in 2013. Acquired by THQ Nordic in 2018.,1
Delphine Software International,"Paris, France",1988,Future Wars,Defunct in 2004.,0
Delta 4,UK,1984,Bored of the Rings,Defunct in 1992.,0
Destination Software,"Moorestown, New Jersey, United States",2001,Snood,Used the label DSI Games. Acquired by GreenScreen Interactive Software in 2008.,0
Destineer,"Minnesota, United States",2000,,"Also a video game developer. Publishes under the Bold Games, MacSoft, and Atomic Games labels.",0
Devolver Digital,"Austin, Texas, United States",2008,,,1
Digital Fantasia,"Blackpool, UK",1982,Perseus and Andromeda,Ceased publishing in 1983; defunct in 1991.,0
Digital Integration,"Camberley, Surrey, UK",1982,ATF,Acquired by Titus Interactive in 1998; defunct in 2005.,0
Digital Jesters,"Welwyn Garden City, Hertfordshire, England, UK",2003,Chaos League,Defunct in 2006.,0
Digital Leisure,"Aurora, Ontario, Canada",1997,Various DVD games,,1
Digital Pictures,"San Mateo, California, United States",1991,Corpse Killer,Defunct in 1996.,0
Dinamic Multimedia,"Madrid, Spain",1993,PC Fútbol,Defunct in 2001.,0
Dinamic Software,Spain,1983,After the War,Also a video game developer. Defunct in 1992.,0
Disney Interactive Studios,"Glendale, California, United States",1988,,Defunct in 2016.,0
DK'Tronics,"Saffron Walden, UK",1981,3D Tanx,Defunct in 1993.,0
Domark,"London, England, UK",1984,3D Construction Kit,"Merged with Big Red Software, Simis, and Eidos Technologies to form Eidos Interactive in 1996.",0
Double Fine,"San Francisco, California, US",2000,,Acquired by Microsoft Game Studios,1
Dovetail Games,"Chatham, Kent, England, UK",2008,Train Simulator,,1
Dragon Data,"Wales, UK",1980,Various Dragon 32/64 games,Division of Mettoy. Defunct in 1984.,0
DreamCatcher Games,"Toronto, Ontario, Canada",1996,,Acquired by JoWooD Productions. Folded into Nordic Games in 2011.,0
DreamWorks Interactive,"Los Angeles, California, United States",1995,The Neverhood,Joint venture between DreamWorks and Microsoft. Acquired by Electronic Arts in 2000.,0
DROsoft,"Madrid, Spain",1986,Various ZX Spectrum games,Acquired by Electronic Arts in 1994.,0
Dtp entertainment,"Hamburg, Germany",1995,,,0
Dynamic Planning,"Tokyo, Japan",1974,Shien's Revenge,Also known as Dynamic Kikaku. No longer publishes video games.,0
Dynamix,"Eugene, Oregon, United States",1984,David Wolf: Secret Agent,Acquired by Sierra in 1990; defunct in 2001.,0
EasyGameStation,Japan,2001,Chantelise - A Tale of Two Sisters,,1
Ecole Software,"Nishinomiya, Japan",1989,Death Crimson OX,No longer publishes video games.,0
Edu-Ware,"Agoura Hills, California, United States",1979,The Prisoner,Defunct in 1985.,0
eGames,"Langhorne, Pennsylvania, United States",1992,Darwinia,Published games under the Cinemaware Marquee label. Acquired by Tamino Minerals in 2012.,0
Electric Dreams Software,"Southampton, England, UK",1985,Firetrack,Defunct in 1989.,0
Electronic Arts,"Redwood City, California, United States",1982,BattlefieldMedal of HonorThe Sims,Also a video game developer.,1
Electronic Arts Victor,Japan,1993,Mutant League Football,Joint venture of Electronic Arts and Victor Interactive. Defunct in 2003.,0
Electro Brain,"Salt Lake City, Utah, United States",1990,Ghoul School,Defunct in 1998.,0
The Elektrik Keyboard,"Chicago, Illinois, United States",1978,Depth Charge,Stopped publishing video games in 1979.,0
ELF Corporation,"Tokyo, Japan",1989,Dōkyūsei,Defunct in 2015.,0
Elite Systems,"Lichfield, UK",1984,Beyond the Ice Palace,,1
Empire Interactive,"London, England, UK",1987,Big Mutha Truckers,Defunct in 2009.,0
English Software,"Manchester, UK",1982,Jet-Boot Jack,Defunct in 1987.,0
Enix,"Tokyo, Japan",1975,Dragon Warrior,Merged with Square as Square Enix.,0
Enlight Software,United States,1993,Restaurant Empire,,0
Enterbrain,"Tokyo, Japan",1987,Tear Ring Saga,Division of Kadokawa Corporation; its game business was merged into Kadokawa Games in 2009.,0
Durell Software,"Taunton, UK",1983,Saboteur,Exited the video game industry in 1987.,0
Edge Games,"Pasadena, California, United States",1990,,,0
Eighting,"Tokyo, Japan",1993,Battle Garegga,Acquired by COLOPL in 2016. No longer self-publishes video games.,0
Electric Transit,"Thousand Oaks, California, United States",1985,Wilderness: A Survival Adventure,Defunct in 1987.,0
Emerald Software,"Waterford, Ireland",1988,Various licensed games for the Commodore 64 and Amiga,Defunct in 1991.,0
"Encore, Inc.","Minneapolis, Minnesota, United States",1994,Torchlight,"Acquired by Speed Commerce in 2002, WYNIT Distribution LLC in 2014. Encore acquired Viva Media.",1
Entertainment Software Publishing,Japan,1997,Bangai-O,"Also known as ESP. Acquired by D3 Publisher, which continued to use it as a label until 2010.",0
En Masse Entertainment,"Seattle, Washington, United States",2010,TERA,,1
Eolith,"Seoul, South Korea",1996,Various arcade games,Defunct in 2005.,0
Eon Digital Entertainment,"London, England, UK",2000,Airfix Dogfighter,Defunct in 2002.,0
Epic Games,"Potomac, Maryland, United States",1991,"Epic Pinball, ZZT, Jill of the Jungle","Also a video game developer. Known as Potomac Computer Systems until 1992, and Epic MegaGames until 1999.",1
Epoch Co.,"Tokyo, Japan",1958,Barcode Battler,No longer publishes video games.,0
Epyx,"Chappaqua, New York, United States",1978,"Dunjonquest seriesCrush, Crumble and Chomp!Various Olympics-themed games",Also a video game developer.,0
ERE Informatique,France,1981,Macadam Bumper,Acquired by Infogrames in 1987.,0
ESA (formerly Softmax),South Korea,1994,Magna Carta: The Phantom of Avalanche,left from game business,0
Europress,"Bath, England, UK",1965,Titanic: Adventure Out of Time,Acquired by Hasbro Interactive in 1999.,0
Eushully,"Sapporo, Japan",1998,Various eroge,Team within Arkham Products until 2005; label of Eukleia since then.,1
Examu,"Tokyo, Japan",1999,Arcana Heart,Known as Yuki Enterprise until 2007.,0
Exidy,"Sunnyvale, California, United States",1974,"Mouse Trap, Venture",Defunct in 1989.,0
F&C,Japan,1987,Saori,Known as Ides until 1997; published games under the FairyTale and Cocktail Soft labels until then.,0
FASA,United States,1980,,Ended video game development and publishing 2012,0
Fabtek,"Redmond, Washington, United States",1987,Cabal,Defunct in 1999.,0
Fandom,,2004,,,1
Fairchild Semiconductor,"Sunnyvale, California, United States",1957,Various Fairchild Channel F games,"Initially a division of Fairchild Camera and Instrument. Acquired by Schlumberger in 1979, then by National Semiconductor in 1987; regained independence in 1997; acquired by ON Semiconductor in 2016.",0
Family Soft,"Tokyo, Japan",1987,Mad Stalker: Full Metal Force,,0
Fantasy Software,"Cheltenham, UK",1983,Various ZX Spectrum games,Defunct in 1985.,0
Faster Than Light,UK,1986,Hydrofool,Label of Gargoyle Games. Defunct in 1989.,0
Fathammer,Finland,2002,,Acquired by Telcogames in 2006.,0
Firebird Software,"London, England, UK",1983,Elite,Defunct in 1989 upon MicroProse's acquisition of Telecomsoft.,0
First Star Software,"Chappaqua, New York, United States",1982,Boulder Dash,Acquired by BBG Entertainment in 2018 and their games are now published by BBG Entertainment.,0
Feral Interactive,"London, England, UK",1999,,Publishes Macintosh and Linux games,1
Fill-in-Cafe,Japan,1987,,Known as Team Cross Wonder until 1989. Defunct in 1998.,0
Fisher Price,"East Aurora, New York, United States",1930,Various Atari 8-bit and Colecovision games,Acquired by Mattel in 1993. No longer publishes video games.,0
Fishtank Interactive,"Ravensburg, Germany",2000,AquaNox,Publishing Label of Ravensburger Interactive. Acquired alongside parent by JoWooD Productions in 2002.,0
Flair Software,"Newcastle upon Tyne, UK",1990,Elvira: The Arcade Game,Last game published in 1999.,0
Flight-Plan,"Gifu, Japan",1989,Sacred Blaze,Defunct in 2010.,0
Flying Edge,"Glen Cove, New York, United States",1992,The Simpsons: Bart vs. the Space Mutants,Label of Acclaim Entertainment. Defunct in 1994.,0
Focus Home Interactive,"Paris, France",1996,Pro Cycling Manager,,1
Focus Multimedia,"Rugeley, UK",1995,Various budget CD-ROM games,,1
FormGen,"Scottsdale, Arizona, United States",1987,Space Dude,Acquired by GT Interactive in 1996.,0
The Fourth Dimension,UK,1989,Apocalypse,Also known as The 4th Dimension or 4D. Defunct in 2004.,0
Fox Interactive,"Los Angeles, California, United States",1982,CrocDie Hard Trilogy,Also a video game developer. Acquired by Activision Blizzard.,0
Freeverse Software,"New York City, United States",1994,Project Nomads,Acquired by Ngmoco in 2010.,0
French Bread,"Tokyo, Japan",1998,Glove on Fight,Formerly known as Watanabe Seisakusho.,1
Froggo,"Sunnyvale, California",1987,Various Atari 2600 and 7800 games,Defunct in 1989.,0
FromSoftware,"Tokyo, Japan",1986,Dark Souls,Subsidiary of Kadokawa Corporation,1
Front Wing,Japan,2000,Tea Society of a Witch,,1
FTL Games,"San Diego, California, United States",1982,Dungeon Master,Defunct in 1996.,0
Fujisankei Communications International,"New York, New York, United States",1986,,No longer publishes video games,0
Fujitsu,"Tokyo, Japan",1935,Various FM Towns games,No longer publishes video games.,0
Full On Games,"Tokyo, Japan",1996,Various Dreamcast games,Also known as FOG.,1
Funcom,"Oslo, Norway",1993,Age of Conan,Also a video game developer.,1
Future Games,"Beroun, Czech Republic",1996,The Black Mirror,Defunct in 2011.,0
Fuuki,"Kyoto, Japan",1977,Asura Blade: Sword of Dynasty,No longer publishes video games.,0
G-Collections,"Las Vegas, Nevada",2001,Kana Little Sister,Acquired by JAST USA in 2005; defunct in 2015.,0
G.rev,Japan,2000,Border Down,,1
Gaelco,"Barcelona, Spain",1981,Big Karnak,Dissolved in 2007,0
Gaijinworks,"Redding, California, United States",2006,Miami Law,,1
Gainax,"Tokyo, Japan",1984,Princess Maker,No longer publishes video games.,0
